Date,Open,High,Low,Close     Close price adjusted for splits.,Adj Close     Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Mar 26, 2025,5,831.00,5,836.50,5,817.25,5,822.50,5,822.50,48,059
Mar 25, 2025,5,813.00,5,837.25,5,802.25,5,826.50,5,826.50,1,404,629
Mar 24, 2025,5,740.00,5,825.50,5,739.00,5,815.50,5,815.50,1,404,629
Mar 21, 2025,5,664.00,5,674.25,5,597.50,5,617.80,5,617.80,1,629,871
Mar 20, 2025,5,680.00,5,714.25,5,631.50,5,662.50,5,662.50,412,785
Mar 19, 2025,5,618.50,5,718.50,5,606.25,5,678.50,5,678.50,704,394
Mar 18, 2025,5,680.00,5,686.25,5,600.00,5,618.00,5,618.00,1,111,733
Mar 17, 2025,5,626.75,5,707.50,5,599.00,5,680.25,5,680.25,2,086,734
Mar 14, 2025,5,540.00,5,648.75,5,538.75,5,640.00,5,640.00,2,191,954
Mar 13, 2025,5,596.50,5,623.00,5,509.25,5,527.50,5,527.50,2,163,776
Mar 12, 2025,5,580.00,5,675.00,5,550.25,5,604.75,5,604.75,2,004,740
Mar 11, 2025,5,622.00,5,651.75,5,534.00,5,577.00,5,577.00,2,623,963
Mar 10, 2025,5,753.00,5,757.75,5,571.50,5,620.75,5,620.75,2,590,102
Mar 7, 2025,5,766.00,5,791.00,5,673.00,5,776.00,5,776.00,2,315,005
Mar 6, 2025,5,844.75,5,853.50,5,720.00,5,746.25,5,746.25,2,553,819
Mar 5, 2025,5,832.00,5,869.50,5,750.75,5,851.25,5,851.25,2,284,032
Mar 4, 2025,5,874.00,5,884.00,5,744.00,5,789.50,5,789.50,3,353,551
Mar 3, 2025,5,967.50,6,000.50,5,821.75,5,860.75,5,860.75,2,610,882
Feb 28, 2025,5,883.00,5,971.00,5,848.00,5,963.25,5,963.25,2,784,347
Feb 27, 2025,5,980.00,6,014.50,5,873.00,5,876.25,5,876.25,2,579,895
Feb 26, 2025,5,982.00,6,023.75,5,945.50,5,970.75,5,970.75,1,901,306
Feb 25, 2025,6,006.50,6,016.00,5,924.00,5,970.00,5,970.00,2,215,332
Feb 24, 2025,6,040.75,6,067.50,5,994.50,6,000.75,6,000.75,1,797,847
Feb 21, 2025,6,132.50,6,142.50,6,024.50,6,029.00,6,029.00,1,940,563
Feb 20, 2025,6,153.75,6,159.50,6,102.75,6,136.50,6,136.50,1,405,343
Feb 19, 2025,6,143.75,6,166.50,6,129.25,6,163.00,6,163.00,1,078,997
Feb 18, 2025,6,138.25,6,157.75,6,118.25,6,146.75,6,146.75,1,200,599
Feb 14, 2025,6,131.75,6,146.75,6,121.25,6,132.00,6,132.00,1,018,370
Feb 13, 2025,6,079.75,6,138.00,6,053.50,6,135.25,6,135.25,1,523,953
Feb 12, 2025,6,090.75,6,098.00,6,020.75,6,072.75,6,072.75,1,558,395
Feb 11, 2025,6,085.50,6,098.75,6,057.75,6,092.25,6,092.25,1,017,366
Feb 10, 2025,6,016.00,6,096.00,6,014.00,6,088.75,6,088.75,1,005,560
Feb 7, 2025,6,089.75,6,123.25,6,041.25,6,049.50,6,049.50,1,683,475
Feb 6, 2025,6,090.25,6,108.50,6,070.00,6,106.00,6,106.00,1,179,112
Feb 5, 2025,6,042.75,6,092.00,6,020.25,6,086.50,6,086.50,1,216,433
Feb 4, 2025,6,069.00,6,069.00,5,987.00,6,063.00,6,063.00,1,333,376
Feb 3, 2025,5,982.25,6,062.00,5,935.50,6,022.25,6,022.25,2,314,824
Jan 31, 2025,6,106.00,6,147.75,6,057.75,6,067.25,6,067.25,1,866,467
Jan 30, 2025,6,068.50,6,116.25,6,056.50,6,099.25,6,099.25,1,606,753
Jan 29, 2025,6,090.75,6,111.50,6,042.25,6,067.50,6,067.50,1,552,941
Jan 28, 2025,6,059.50,6,105.50,6,023.50,6,097.00,6,097.00,1,585,216
Jan 27, 2025,6,102.25,6,105.25,5,948.00,6,046.75,6,046.75,2,385,614
Jan 24, 2025,6,148.00,6,162.25,6,122.00,6,133.25,6,133.25,1,254,280
Jan 23, 2025,6,120.00,6,154.00,6,101.50,6,152.00,6,152.00,1,136,009
Jan 22, 2025,6,094.00,6,135.75,6,087.00,6,120.50,6,120.50,1,249,850
Jan 21, 2025,6,032.25,6,093.25,5,994.50,6,084.25,6,084.25,1,725,952
Jan 17, 2025,5,970.25,6,051.50,5,968.00,6,033.50,6,033.50,1,417,304
Jan 16, 2025,5,988.50,6,017.50,5,961.75,5,975.50,5,975.50,1,566,439
Jan 15, 2025,5,891.50,6,001.25,5,879.50,5,989.00,5,989.00,1,657,670
Jan 14, 2025,5,887.25,5,918.50,5,842.50,5,882.25,5,882.25,1,839,961
Jan 13, 2025,5,864.50,5,883.25,5,809.00,5,874.50,5,874.50,1,755,341
Jan 10, 2025,5,943.75,5,959.25,5,845.25,5,866.25,5,866.25,2,130,067
Jan 9, 2025,5,955.00,5,957.00,5,929.25,5,944.75,5,944.75,113,831
Jan 8, 2025,5,955.50,5,975.00,5,917.00,5,959.25,5,959.25,1,764,315
Jan 7, 2025,6,028.00,6,045.50,5,935.00,5,954.25,5,954.25,1,771,767
Jan 6, 2025,5,994.50,6,068.25,5,980.75,6,020.50,6,020.50,1,547,298
Jan 3, 2025,5,921.00,5,996.75,5,911.25,5,989.50,5,989.50,1,206,570
Jan 2, 2025,5,949.25,5,995.25,5,874.75,5,916.50,5,916.50,1,826,031
Dec 31, 2024,5,955.00,5,983.25,5,917.25,5,935.75,5,935.75,1,382,187
Dec 30, 2024,6,028.75,6,036.25,5,918.25,5,958.75,5,958.75,1,575,134
Dec 27, 2024,6,092.00,6,095.25,5,982.75,6,027.00,6,027.00,1,641,100
Dec 26, 2024,6,099.25,6,107.50,6,063.25,6,095.25,6,095.25,911,486
Dec 24, 2024,6,037.75,6,099.50,6,030.00,6,098.00,6,098.00,634,201
Dec 23, 2024,6,001.75,6,043.00,5,965.00,6,036.00,6,036.00,1,406,019
Dec 20, 2024,5,879.50,5,879.50,5,800.75,5,840.26,5,840.26,2,340,873
Dec 19, 2024,5,881.75,5,938.00,5,865.50,5,868.75,5,868.75,532,081
Dec 18, 2024,6,053.50,6,074.50,5,840.00,5,872.25,5,872.25,847,452
Dec 17, 2024,6,077.00,6,079.25,6,040.75,6,053.75,6,053.75,1,113,325
Dec 16, 2024,6,055.50,6,090.50,6,051.50,6,080.50,6,080.50,1,612,199
Dec 13, 2024,6,065.00,6,085.25,6,041.25,6,055.50,6,055.50,1,996,354
Dec 12, 2024,6,087.50,6,088.25,6,055.50,6,060.75,6,060.75,1,565,731
Dec 11, 2024,6,052.75,6,102.50,6,045.50,6,092.75,6,092.75,1,271,795
Dec 10, 2024,6,065.25,6,075.25,6,039.75,6,046.25,6,046.25,1,350,731
Dec 9, 2024,6,096.25,6,105.75,6,060.00,6,065.75,6,065.75,1,351,194
Dec 6, 2024,6,085.50,6,111.00,6,076.00,6,099.00,6,099.00,1,167,677
Dec 5, 2024,6,095.25,6,107.25,6,081.50,6,088.75,6,088.75,1,118,784
Dec 4, 2024,6,067.00,6,102.25,6,063.00,6,098.50,6,098.50,1,142,137
Dec 3, 2024,6,064.00,6,070.75,6,047.50,6,063.25,6,063.25,991,961
Dec 2, 2024,6,051.50,6,068.50,6,036.00,6,061.75,6,061.75,989,033
Nov 29, 2024,6,015.00,6,060.00,6,014.75,6,051.50,6,051.50,847,984
Nov 27, 2024,6,041.75,6,047.00,6,000.25,6,015.00,6,015.00,1,157,171
Nov 26, 2024,6,013.25,6,044.00,5,976.25,6,038.25,6,038.25,1,336,843
Nov 25, 2024,6,006.00,6,040.00,5,982.50,6,006.50,6,006.50,1,619,917
Nov 22, 2024,5,967.00,5,993.50,5,940.75,5,987.00,5,987.00,1,550,734
Nov 21, 2024,5,937.25,5,985.00,5,905.25,5,970.50,5,970.50,1,867,101
Nov 20, 2024,5,937.75,5,957.75,5,880.00,5,937.75,5,937.75,1,597,257
Nov 19, 2024,5,919.00,5,947.50,5,855.00,5,938.75,5,938.75,1,636,346
Nov 18, 2024,5,899.75,5,933.00,5,886.50,5,920.00,5,920.00,1,332,326
Nov 15, 2024,5,972.00,5,974.25,5,876.75,5,896.50,5,896.50,2,008,339
Nov 14, 2024,6,017.75,6,025.25,5,964.25,5,978.25,5,978.25,1,538,927
Nov 13, 2024,6,012.25,6,035.25,5,991.75,6,016.00,6,016.00,1,445,258
Nov 12, 2024,6,029.25,6,036.50,5,986.75,6,013.00,6,013.00,1,407,120
Nov 11, 2024,6,030.00,6,053.25,6,013.50,6,031.75,6,031.75,1,069,929
Nov 8, 2024,6,007.75,6,040.50,5,990.25,6,025.25,6,025.25,1,184,512
Nov 7, 2024,5,963.50,6,013.00,5,951.00,6,003.75,6,003.75,1,285,585
Nov 6, 2024,5,820.25,5,967.00,5,814.75,5,958.25,5,958.25,2,023,257
Nov 5, 2024,5,752.25,5,823.25,5,735.00,5,812.25,5,812.25,1,198,797
Nov 4, 2024,5,741.75,5,776.50,5,724.25,5,743.25,5,743.25,1,333,685
